Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[2 0 0 0 0 0 1 1 1],300.0,228,[ 1.  1.  1.  2.  2.  1.  1.  7.  4.],242,5,20.0
[0 0 0 2 2 1 0 1 1],200.0,228,[ 2.  4.  3.  2.  1.  2.  1.  3.  3.],243,7,21.0
[0 0 5 2 2 1 1 2 1],185.714285714,228,[  2.   5.   5.   7.  10.   6.   3.   1.   1.],244,14,40.0
[0 1 3 3 0 0 0 0 0],357.142857143,228,[ 5.  2.  3.  2.  2.  4.  6.  3.  5.],245,7,32.0
[0 0 2 1 1 1 2 0 1],75.0,228,[ 3.  2.  2.  2.  1.  1.  1.  1.  1.],246,8,14.0
[0 0 0 1 0 0 1 0 1],33.3333333333,228,[ 0.  0.  0.  0.  0.  0.  0.  1.  1.],247,3,2.0
[1 2 0 2 0 0 0 0 1],83.3333333333,228,[ 5.  0.  3.  1.  1.  1.  0.  0.  0.],248,6,11.0
[3 1 2 1 0 1 1 1 2],66.6666666667,228,[ 1.  7.  2.  1.  2.  2.  2.  2.  1.],249,12,20.0
[1 0 0 1 0 0 1 1 2],66.6666666667,228,[-1.  2.  1.  1.  1.  1.  0.  4.  1.],250,6,10.0
[1 1 1 1 0 1 1 1 1],25.0,228,[ 1.  1.  0.  1.  2.  0.  0.  1.  0.],251,8,6.0
[0 1 0 0 0 0 2 0 1],50.0,228,[ 0.  0.  1.  0.  0.  1.  0.  0.  0.],252,4,2.0
[0 3 3 1 0 2 0 2 5],87.5,228,[ 1.  5.  6.  5.  1.  2.  4.  4.  2.],253,16,30.0
[2 1 2 1 0 0 0 2 1],122.222222222,228,[ 2.  1.  1.  2.  2.  5.  5.  1.  1.],254,9,20.0
[0 0 1 1 0 0 1 0 1],75.0,228,[ 0.  1.  3.  0.  1.  0.  2.  0.  0.],255,4,7.0
[0 2 3 1 1 1 1 1 4],100.0,228,[  2.   2.   1.   1.   3.   3.   3.  12.   1.],256,14,28.0
[1 0 0 1 1 1 0 1 3],25.0,228,[ 3.  0.  1.  1.  0.  1.  0.  0.  0.],257,8,6.0
[0 1 0 0 0 1 0 0 0],0.0,228,[ 0.  0.  0.  0.  0.  2.  0.  0.  0.],258,2,2.0
[1 1 1 0 0 0 0 0 0],1033.33333333,228,[ 6.  3.  4.  5.  4.  2.  6.  2.  2.],259,3,34.0
[1 1 1 2 1 0 1 1 2],50.0,228,[ 2.  2.  1.  3.  2.  1.  2.  1.  1.],260,10,15.0
[1 2 3 0 2 1 0 0 0],11.1111111111,228,[ 2.  0.  2.  1.  3.  0.  0.  0.  0.],263,9,8.0
[0 0 1 0 0 0 1 2 1],260.0,228,[ 1.  4.  4.  2.  0.  1.  1.  0.  5.],264,5,18.0
[0 2 0 1 0 1 1 1 1],14.2857142857,228,[ 0.  1.  2.  0.  0.  0.  0.  1.  2.],265,7,6.0
[2 5 0 0 1 1 0 0 3],41.6666666667,228,[ 2.  5.  2.  2.  2.  1.  1.  1.  1.],266,12,17.0
[0 1 0 2 0 0 1 0 3],328.571428571,228,[ 1.  2.  5.  4.  6.  6.  3.  1.  2.],267,7,30.0
[1 1 2 1 2 1 3 3 1],66.6666666667,228,[ 3.  4.  2.  3.  3.  1.  3.  5.  1.],268,15,25.0
[1 4 1 2 2 0 0 0 1],118.181818182,228,[ 2.  4.  2.  3.  5.  2.  3.  2.  1.],269,11,24.0
[1],100.0,228,[ 0.],270,1,0.0
[2 1 0 0 0 0 1 1 2],14.2857142857,228,[ 0.  2.  1.  1.  2.  0.  0.  0.  0.],271,7,6.0
[0 1 0 0 0 2 1 1 1],183.333333333,228,[ 1.  2.  2.  1.  2.  2.  1.  3.  3.],272,6,17.0
[4 1 0 0 1 0 4 2 4],31.25,228,[ 2.  0.  0.  1.  2.  2.  1.  3.  0.],273,16,11.0
[0 0 0 0 0 0 0 0 0],100.0,228,[ 1.  0.  0.  0.  0.  0.  0.  0.  0.],274,0,1.0
[3 0 2 1 1 1 2 1 2],7.69230769231,228,[ 3.  2.  4.  0.  0.  0.  2.  1.  0.],275,13,12.0
[3 2 1 1 0 0 0 2 1],130.0,228,[ 3.  2.  3.  2.  6.  1.  4.  1.  1.],276,10,23.0
[3 4 1 2 0 1 1 0 1],38.4615384615,228,[ 0.  0.  2.  3.  3.  0.  0.  0.  0.],277,13,8.0
[0 1 1 0 1 0 0 1 0],0.0,228,[ 1.  0.  1.  0.  0.  0.  0.  1.  1.],278,4,4.0
[1 0 1 0 0 0 2 1 1],150.0,228,[ 1.  1.  1.  1.  1.  1.  3.  3.  3.],279,6,15.0
[1 0 3 4 1 1 2 2 1],120.0,228,[ 2.  2.  2.  7.  6.  3.  2.  7.  2.],280,15,33.0
[2 2 2 0 2 1 0 1 2],16.6666666667,228,[ 1.  1.  1.  3.  1.  3.  0.  0.  0.],281,12,10.0
[0 1 1 4 4 3 0 3 2],16.6666666667,228,[ 1.  2.  1.  2.  3.  3.  3.  5.  1.],282,18,21.0
[0 2 1 0 2 1 1 1 1],66.6666666667,228,[ 2.  1.  4.  3.  1.  1.  1.  1.  1.],283,9,15.0
[2 1 0 1 5 2 0 0 1],91.6666666667,228,[ 1.  2.  1.  1.  3.  4.  1.  2.  8.],284,12,23.0
[0 0 0 1 0 0 1 0 0],50.0,228,[ 0.  1.  0.  0.  0.  0.  2.  0.  0.],285,2,3.0
[0 0 0 1 0 1 2 1 1],133.333333333,228,[ 0.  1.  1.  0.  2.  3.  2.  2.  3.],286,6,14.0
[3 2 0 1 0 0 0 0 0],100.0,228,[ 1.  0.  2.  1.  0.  2.  1.  2.  3.],287,6,12.0
[1 0 1 6 2 1 2 2 1],12.5,228,[ 3.  1.  4.  3.  1.  2.  2.  1.  1.],288,16,18.0
[0 0 2 2 0 0 3 2 1],30.0,228,[ 0.  1.  2.  1.  0.  1.  1.  0.  1.],290,10,7.0
[0 2 0 1 1 1 0 1 2],25.0,228,[ 0.  0.  0.  0.  0.  0.  0.  2.  4.],291,8,6.0
[0 0 2 0 1 3 2 2 2],41.6666666667,228,[ 0.  2.  1.  0.  1.  0.  1.  0.  2.],292,12,7.0
[0 0 0 1 3 1 1 1 4],45.4545454545,228,[ 0.  0.  0.  0.  0.  1.  2.  2.  1.],293,11,6.0
[ 0 -1  0  0  1  0  1  1  1],166.666666667,228,[ 1.  0.  1.  0.  0.  0.  1.  3.  2.],294,3,8.0
[1 1 0 2 0 0 1 1 1],71.4285714286,228,[ 2.  3.  1.  1.  1.  1.  0.  1.  2.],295,7,12.0
[0 0 0 0 1 0 0 2 1],400.0,228,[ 1.  1.  3.  1.  4.  2.  3.  2.  3.],296,4,20.0
[1 0 3 1 0 0 0 2 1],187.5,228,[ 3.  4.  1.  4.  1.  1.  2.  2.  5.],297,8,23.0
[0 3 0 3 1 1 0 0 1],377.777777778,228,[  3.   6.   3.   6.   3.   3.   5.  12.   2.],298,9,43.0
[0 0 0 1 1 1 1 1 1],150.0,228,[ 0.  1.  3.  0.  4.  2.  2.  1.  2.],299,6,15.0
[1 2 0 1 2 2 1 1 0],90.0,228,[ 3.  3.  1.  3.  1.  3.  1.  2.  2.],303,10,19.0
[0 1 0 1 0 0 0 1 2],120.0,228,[ 1.  4.  2.  0.  4.  0.  0.  0.  0.],304,5,11.0
[0 1 0 0 1 0 0 1 1],25.0,228,[ 0.  0.  1.  0.  0.  0.  3.  1.  0.],305,4,5.0
[0 4 1 2 2 0 0 1 0],40.0,228,[ 1.  1.  2.  3.  4.  1.  1. -1.  2.],306,10,14.0
[1 0 0 0 0 0 1 2 1],20.0,228,[ 1.  3.  1.  0.  0.  1.  0.  0.  0.],307,5,6.0
[3 0 0 6 0 0 2 1 1],53.8461538462,228,[ 1.  0.  1.  4.  0.  0.  0.  0.  0.],308,13,6.0
[1 0 0 0 0 0 0 0 0],100.0,228,[ 0.  0.  0.  0.  0.  1.  0.  0.  1.],309,1,2.0
[1 1 1 2 1 1 1 1 1],80.0,228,[ 1.  3.  1.  2.  4.  1.  2.  2.  2.],310,10,18.0
[0 2 0 0 1 3 3 3 3],40.0,228,[ 2.  5.  2.  1.  1.  1.  1.  4.  4.],311,15,21.0
[0 1 0 0 2 2 0 0 0],40.0,228,[ 0.  1.  2.  2.  1.  0.  0.  0.  1.],312,5,7.0
[ 1  0  0  1  0  0  0  1 -1],50.0,228,[ 1.  1.  0.  0.  0.  0.  1.  0.  0.],313,2,3.0
[0 0 1 0 1 0 1 1 2],33.3333333333,228,[ 1.  0.  0.  0.  0.  1.  3.  3.  0.],314,6,8.0
[1 0 0 0 0 0 1 1 5],100.0,228,[ 3.  2.  3.  2.  2.  1.  1.  1.  1.],315,8,16.0
[0 1 2 7 1 0 0 1 1],161.538461538,228,[ 2.  4.  2.  8.  7.  5.  2.  3.  1.],317,13,34.0
[1 0 0 0 0 0 0 1 1],0.0,228,[ 0.  0.  0.  0.  0.  0.  0.  1.  2.],318,3,3.0
[0 0 0 1 0 1 2 1 2],314.285714286,228,[ 4.  3.  3.  8.  5.  1.  3.  1.  1.],319,7,29.0
[0 0 0 0 0 1 0 0 1],100.0,228,[ 0.  0.  0.  2.  1.  0.  0.  0.  1.],320,2,4.0
[4 1 1 2 0 4 2 1 1],143.75,228,[ 4.  8.  9.  7.  2.  2.  3.  2.  2.],322,16,39.0
[0 1 1 1 0 0 1 1 1],183.333333333,228,[ 1.  3.  1.  7.  0.  1.  0.  3.  1.],323,6,17.0
[0 1 1 0 0 0 1 0 2],180.0,228,[ 2.  1.  1.  0.  1.  1.  4.  4.  0.],324,5,14.0
[3 1 0 1 2 1 2 1 3],300.0,228,[  3.   6.   4.   4.   6.  11.  13.   7.   2.],325,14,56.0
[1 0 1 1 0 1 1 2 1],12.5,228,[ 1.  0.  2.  1.  0.  2.  1.  1.  1.],327,8,9.0
[0 2 0 0 0 1 1 1 1],16.6666666667,228,[ 1.  0.  0.  1.  1.  2.  1.  1.  0.],329,6,7.0
[0 2 0 0 0 1 1 1 2],100.0,228,[ 1.  1.  1.  3.  1.  1.  3.  2.  1.],330,7,14.0
[0 0 1 1 2 0 0 0 1],60.0,228,[ 0.  0.  1.  0.  3.  2.  0.  1.  1.],331,5,8.0
[2 0 4 1 1 1 1 0 6],125.0,228,[ 5.  3.  2.  3.  5.  6.  4.  5.  3.],332,16,36.0
[2 0 0 1 1 0 3 1 1],22.2222222222,228,[ 0.  2.  1.  1.  2.  2.  2.  0.  1.],333,9,11.0
[0 0 1 0 0 2 2 1 1],14.2857142857,228,[ 0.  1.  0.  1.  1.  0.  1.  2.  0.],334,7,6.0
[ 0  0  0  1  0  0  0  1 -1],400.0,228,[ 0.  0.  0.  0.  1.  2.  0.  1.  1.],335,1,5.0
[1 2 2 1 2 1 2 1 7],42.1052631579,228,[ 0.  1.  1.  1.  2.  2.  1.  1.  2.],336,19,11.0
[ 2  0 -1  0  2  0  1  0  1],360.0,228,[ 3.  4.  1.  4.  4.  2.  2.  2.  1.],337,5,23.0
[3 5 3 1 0 0 0 0 1],238.461538462,228,[  4.   6.   3.   2.  14.  12.   1.   1.   1.],338,13,44.0
