Actual,Error,Item_id,Predicted,Store_id
[3 5 3 1 0 0 0 0 1],3.44444444444,228,[  4.   6.   3.   2.  14.  12.   1.   1.   1.],338
[0 0 2 0 1 2 8 2 2],2.22222222222,228,[ 1.  1.  4.  2.  4.  1.  1.  4.  3.],339
[1 3 0 1 0 0 0 1 1],2.0,228,[ 6.  2.  3.  5.  3.  1.  1.  1.  1.],340
[1 0 0 1 0 1 0 0 1],0.666666666667,228,[ 1.  0.  0.  0.  1.  1.  3.  0.  0.],341
[1 1 0 1 1 1 2 1 1],0.666666666667,228,[ 1.  0.  1.  1.  2.  3.  1.  1.  1.],342
[0 0 0 0 2 0 0 1 1],0.555555555556,228,[ 1.  0.  1.  1.  2.  1.  0.  2.  1.],343
[ 0  3  3  3  0  1  2  2 -1],2.11111111111,228,[ 3.  2.  2.  3.  2.  4.  7.  4.  1.],344
[1 0 1 1 0 0 1 1 1],0.555555555556,228,[ 0.  0.  0.  2.  0.  0.  0.  2.  1.],345
[1 1 1 1 0 1 1 2 1],1.77777777778,228,[ 3.  3.  2.  3.  2.  4.  5.  2.  1.],346
[0 3 0 0 0 0 2 0 1],1.22222222222,228,[ 0.  4.  1.  0.  1.  1.  1.  3.  4.],347
[2 1 1 3 0 0 0 0 2],1.0,228,[ 1.  3.  2.  3.  2.  1.  0.  1.  1.],348
[0 0 1 2 1 1 2 1 2],2.55555555556,228,[ 6.  5.  6.  1.  2.  3.  2.  3.  1.],349
[1 0 0 0 0 0 0 1 1],1.22222222222,228,[ 1.  1.  1.  1.  2.  4.  1.  1.  0.],350
[2 2 0 1 4 1 4 2 3],1.55555555556,228,[ 3.  5.  2.  2.  5.  3.  3.  4.  4.],351
[2 3 1 0 0 0 0 0 1],2.11111111111,228,[ 1.  3.  5.  5.  4.  3.  1.  1.  1.],352
[-1  0  0  0  0  1  0  0  1],0.888888888889,228,[ 0.  2.  0.  0.  2.  0.  1.  1.  1.],353
[3 0 0 0 1 2 2 4 1],1.55555555556,228,[ 2.  3.  2.  2.  3.  2.  3.  1.  1.],354
[1 1 1 0 1 0 1 1 2],1.22222222222,228,[ 2.  4.  1.  2.  1.  1.  1.  5.  2.],355
[0 0 1 0 0 0 0 0 0],0.444444444444,228,[ 1.  1.  1.  0.  2.  0.  0.  0.  0.],356
